# Cold independent source audit of the Scripture chronology corpus.
# Audited corpus commit: 2330d63a5 (branch feature/bible-dating).
#
# Every row is a CHANGES_REQUIRED finding that survived an independent adversarial
# re-reading briefed to refute it; most survived two. 68 further findings were
# raised and refuted and are listed in the report, not here — a correction lane
# should not re-raise them without new evidence. 392 PASS rows are not listed.
# Where two verification passes split, the finding is held standing (35 rows).
#
# severity: critical = a materially false date, event, attribution or source
#   identity could reach a consumer as canonical fact. major = semantically wrong
#   without producing a wholly false date. minor = prose or metadata only.
finding_id	claim_id	audit_class	source_record	source_locus	result	severity	issue_type	recommended_action	notes
E1-018	event:israel.monarchy.absalom-revolt#0	E	bible:douay-rheims:2Kings.15.7	2Kings.15.7, tracked Douay-Rheims; Haydock note at 'Ver. 7. Forty', artifact PDF page 430	CHANGES_REQUIRED	major	unsourced-relative-anchor	Drop israel.monarchy.david-reign as the anchor. Either record the interval without an anchor and say in the note that Scripture states no terminus a quo, or anchor it on a terminus a ranked source actually supplies and name that source - Haydock at 2 Kings 15:7 offers Vatable's 'the time when the people petitioned for a king' and Salien's 'the first anointing of David'. Add to the note that the same commentary reports the reading 'four' for 'forty'.	The verse quotation is verbatim against the tracked Douay, so SS15.1(1) is clear. The defect is SS15.1(2), the failure mode the loader cannot catch: the anchor exists but no inspected source puts it at the interval's start, and the corpus supplied it. It compounds because israel.monarchy.david-reign holds no endpoints at all - its only claim is a duration of forty years ('he reigned forty years') - so 'forty years relative to the reign of David', read forward, lands Absalom's revolt at the very end of a forty-year reign, which contradicts this corpus's own alternate on the same subject (Haydock A. M. 2980) and its A. M. 2981 for Absalom's defeat with the reign continuing after. The claim is preferred, so this is what a consumer is shown first. The note's existing hedge ('The number must not be presented as settled') covers the numeral, not the anchor.
E2-007	event:israel.exile.second-captivity#0	E	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	Ps.70.1, commentary note, artifact PDF page 776 (printed p. 740), lines 40-41	CHANGES_REQUIRED	major	lower-rank-preferred-while-rank-1-speaks	Demote the A.M. 3405 claim to `alternate` and author the rank-1 regnal claim from 4 Kings 24:8 and 24:12 as `preferred`, exactly as `israel.exile.first-captivity` already does with Dan 1:1. (Sec. 4.4 forbids leaving every claim on a subject without a disposition, so the demotion and the rank-1 claim must land together.) Separately, correct the basis quotation: it prints "the second under Jechonias as A.M. 3405", which is the repository's context prose; the page reads "the second, under Jechonias, 3405".	Sec. 4.2: "A lower rank is consulted only where every higher rank is silent, and a higher rank never yields to a lower one because the lower one is more precise. Precision is not authority." The note on this claim invokes precisely that principle for the FIRST captivity but not here, and the result is that a rank-3 transmission of a Sec. 4.3 non-authority is the profile's accepted date for this event. Sec. 10.1 is otherwise satisfied: kept in `am`, unconverted, and the note correctly denies that it is the A.M. equivalent of the 597 B.C. held beside it. Sec. 4.4 rank ordering (preferred rank 3 above alternate rank 6) is formally met; the defect is that the higher rank was never consulted.
E3-009	unit:composition.book-of-abdias#0	E	artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01030b-f708bbb1	Gigot, "Abdias", section "Date of the prophecy of Abdias"	CHANGES_REQUIRED	major	reported-third-party-opinion-stored-as-the-profile's-preferred-claim (§15.1(3), §4.4)	Change the disposition to disputed (solo-disputed is an established pattern in this corpus — life-of-christ.baptism, .public-ministry-begins, .last-supper and israel.monarchy.birth-of-david all carry a single disputed claim), or withdraw the unit and record typed silence as was done for both books of Esdras. Keep the year band and the label; do not author the Babylonian-Captivity or later opinions, which the source prints with no year.	This is the §15.1(3) pattern in its exact form: the only ground for the ninth century is a clause in a named third party's voice, and every step of the argument is reported with distancing verbs — "we are told", "it is claimed", "Hence it is inferred", "The inference is said also to be confirmed". Two of the five names (Keil, Orelli) are not Catholic authorities at all, and the three Catholic commentators (Vigouroux, Trochon, Lesêtre) are cited by Gigot without edition identity, so the corpus holds no ranked record for them either (§4.2 rank 5, §11). The stored date is not laundered modern chronology and the year band is not itself false; the defect is that a reported opinion is presented to consumers as the profile's own preferred date for a whole book of Scripture.
E3-010	unit:composition.book-of-jonas#0	E	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08497b-3ef68123	Driscoll, "Jonah", closing paragraph on authorship	CHANGES_REQUIRED	major	lifetime-of-the-prophet-promoted-to-a-composition-date; no composition date exists in the source (§15.1(7), §15.1(3), §4.4)	Withdraw unit:composition.book-of-jonas#0 and record typed silence for the composition of Jonas (the source gives no date of writing), exactly as was done for both books of Esdras under §15.1(3). If any claim is retained from this article it must be re-typed as what the source actually says — the prophet's supposed lifetime, or the narrated-event statement "the reign of either Asurdanil or Asurnirar (770-745 B.C.)" — and never carried as `composition` and never `preferred`. Any route from "Jewish tradition assumed that the Prophet Jonah was the author" to a date of writing is an authorship-to-occasion inference the same sentence refuses, and would at most be a §10 `derivation` with its own rule and inputs. Do not substitute the article's "probably the fifth century B.C.", which is in "most modern scholars" voice and is excluded by §4.3.	The stored note itself concedes the whole case — "The eighth-century figure is attached in the source to the PROPHET'S LIFETIME and is hedged as 'supposed'; the article gives no date for the writing" — and the unit is nevertheless carried as the preferred composition date of the book and reaches consumers by inheritance on every verse of Jonas. Three separate contract failures compound: semantic type (a lifetime is not a composition), voice ("is supposed to have lived" is an unattributed hedge, not the article's assertion), and disposition (`preferred` on a subject for which the cited source states nothing). Verified that the article contains only two B.C. loci in total, neither of which dates the writing.
LEAD-010	event:apostolic-age.return-of-saint-john-from-patmos#0; event:israel.judges.period#0; unit:composition.psalm-73#0; unit:composition.psalms-of-the-sons-of-korah#0; event:israel.exodus.the-plagues-of-egypt#1; event:israel.wilderness.encampment-at-sinai#0	B-wrong-anchor-dispositions	the prior lane's own .scratch/audit/durations.md §3.1, re-derived against the corpus at HEAD, then re-checked at source	see the per-claim rows raised by the class-A auditors	CHANGES_REQUIRED	major	known-wrong-anchor-left-in-production; acceptance-evidence-in-an-untracked-file	Disposition each of the six by name and act on it, per the corrections the class-A rows carry. Then move the four/fourteen anchor dispositions out of `.scratch/audit/durations.md` into tracked evidence: `.scratch/` is excluded in `.git/info/exclude` and `wt tidy` deletes it without asking, so the record PROJECT-WORK.md points at for this acceptance question is one command from gone. Also correct "Four wrong anchors" to the true count.	Directions §11 case A applies to the six: production still contains an anchor the evidence shows is wrong. Still wrong at HEAD: (1) return-of-saint-john-from-patmos#0, anchor apostolic-age.exile-of-saint-john-to-patmos while Eusebius measures from the death of Domitian; (2) judges.period#0, anchor israel.monarchy.saul-accession, the period's own terminus; (3) composition.psalm-73#0, precision relative on third-captivity carrying the absolute "after 586 B.C." only in a display string; (4) composition.psalms-of-the-sons-of-korah#0, precision relative on decree-of-cyrus silently dropping the Isaias bound the statement names; (5) the-plagues-of-egypt#1, a month-day bracket with a decorative anchor on the-exodus; (6) encampment-at-sinai#0, a span stated between two datelines carried as an offset. The re-anchoring of nehemias-tidings-of-jerusalem#0 onto walls-forbidden-by-artaxerxes is a second wrong anchor (2 Esd 1:1's "twentieth year" is the twentieth of Artaxerxes' reign), and the-plagues-of-egypt#0's new anchor moses-before-pharao is not the striking of the river that Exodus 7:25 measures from; both are raised separately by the class-A auditors.
LEAD-011	scripts/_chronology.py::_system_loci; guidance/scripture-chronology.md §3.0.1 and §9.3; coverage --json native_systems	coverage-universe	src/sources/bibles/* witnesses, via scripts/_deuterocanon._printed()	scripts/_chronology.py:1792-1823	CHANGES_REQUIRED	major	native-universe-enumerated-densely-rather-than-from-the-text; two-figures-for-one-fact	Enumerate _system_loci from _deuterocanon._printed(system) rather than from the min..max span of _extents, exactly as _extents' own docstring warns ("Read from the text, never declared... a ceiling that is derived cannot be wrong without the text being wrong" — but a FLOOR-to-CEILING fill is neither). Then correct guidance §3.0.1 (1 391 → 1 355 of 1 356), guidance §9.3 (1 391 → 1 356, 9 → 6, 37 209 → 37 171), PROJECT-WORK.md's coverage tables, and rebuild coverage.tsv. The count of native loci lacking a chronology status falls from 10 to 7 (1 greek + 6 world-english-catholic).	Raised by the class-D auditor and independently reproduced by the lead from the tracked witnesses. The repository already holds the CORRECT figure in two places — scripts/_chronology.py's own module docstring and src/sources/chronology/composition.yaml both say "1 355 of its 1 356 loci" — so two figures for one fact are live in one repository, which is guidance/the-shape.md §2, the exact failure this corpus exists to prevent, and it is inside the coverage number the deliverable's exhaustive-coverage requirement turns on. The defect inflates the declared universe and reports a date as applying to 35 loci the Greek witness does not print. It does not change the exhaustive-coverage disposition, which is OPEN either way, and it touches no Vulgate/Clementine primary figure: 35 809 and its status split reproduce exactly.
LEAD-013	event:israel.exile.second-captivity#0	profile-authority-rank	bible:douay-rheims:4Kings.24.12 (rank 1, not authored) vs passage.george-leo-haydock...psalm-70-captivities-usher-chronology (rank 3, authored preferred)	4 Kings 24:12	CHANGES_REQUIRED	major	lower-rank-preferred-while-rank-1-speaks; one-source-sentence-dispositioned-three-ways	Author the rank-1 regnal claim from 4 Kings 24:12 for the second captivity and make it `preferred`, demoting A.M. 3405 to `alternate` — exactly the shape israel.exile.first-captivity already has, and exactly what the third captivity already achieves through its sibling events. The two changes must land together, since §4.4 refuses a subject on which no claim carries a disposition.	Raised by the lead and by the class-E auditor, CONFIRMED for the second captivity and NARROWED on verification: the lead's original finding also charged the third captivity, and that half is wrong — Scripture is authored there, on sibling events rather than on the parent. The asymmetry that remains is real and is internal to one source sentence: the Haydock note at Ps 70:1 dates all three deportations in one clause, and the corpus records the FIRST one's A.M. 3398 as `alternate` beneath rank-1 Dan 1:1 — with a note reasoning that "precision is not authority in this profile" — while the second's, from the same clause, stands `preferred` with no rank-1 claim beside it. Not a wrong date reaching a consumer (the A.M. figure is faithfully recorded in its printed era, §10.1) but a profile-fidelity defect: §4.3 permits Usher as reported by a ranked Catholic source, §4.2 forbids that report outranking Scripture.
LEAD-014	event:israel.exodus.the-exodus#0..#3	E-traditional-vs-modern-divergence	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04; bible:douay-rheims:3Kings.6.1	Howlett, "Biblical Chronology", CE vol. 3 (1908), the Exodus section; 3 Kings 6:1	CHANGES_REQUIRED	major	inadmissible-modern-figure-admitted-as-a-co-equal-disputed-claim; rank-1-thereby-demoted	Adopt the lead's action - move 'about 1277' out of catholic-traditional-v1, keep the encyclopedia's staging of the two reckonings in the subject note, re-dispose 3 Kings 6:1 (#2) preferred with #0 alternate, and fold the Septuagint 440 (#3) into #2 as a textual variant of the one verse. Two reinforcements the finding does not use. First, 4.3 grants an EXPRESS reporting licence to Ussher ('may be reported where a ranked Catholic source itself prints his figures') and grants none to modern critical chronology, so the corpus's own defence of #0 - Ussher's regnal years reported by a rank-6 Catholic work - is precisely the licence #1 lacks. Second, the corpus already treats the same Howlett sentence three different ways: 958 B.C. is an alternate under israel.monarchy.temple-begun beside a preferred rank-1 claim, 1020 B.C. is an alternate under israel.monarchy.saul-accession whose note says 'this profile does not display it first', and only 1277 is disputed - and disputed is the one disposition that, by 4.4, demotes the rank-1 verse. Aligning the Exodus with the treatment the corpus already gives the other two figures from the same sentence fixes the defect with no new policy.	Raised by the class-E and profile auditors; the lead read all four claims and their notes before ruling. Stated fairly, the prose discipline here is among the best in the corpus — the source's own boundary sentence is quoted and the prohibition is explicit. But guidance §12 is that the query NEVER picks and returns every alternative, so the prohibition lives only in prose a consumer reading `date` fields will not see, and §4.4's mechanics then deny the rank-1 verse the standing §4.2 gives it. This is not a wrong date reaching a consumer today; it is the profile boundary being enforced by a note instead of by the model. VERIFICATION SPLIT, AND THE SPLIT IS RECORDED RATHER THAN RESOLVED BY FIAT. One pass confirmed and reinforced this finding; another refuted the three sibling findings raised against the same subject, holding that §4.4 makes `disputed` the correct disposition for unsettled disagreement and that §4.3 licenses reporting a ranked Catholic work's own printed figure. That second reasoning is right about Ussher and wrong about this claim, and the asymmetry is in §4.3 itself: it grants an EXPRESS reporting licence to Ussher — 'may be reported where a ranked Catholic source itself prints his figures' — and grants NONE to modern critical chronology, which it says is 'Not consulted, not used to adjust a traditional date, and not treated as a correction'. So #0's defence (Ussher via Howlett) is precisely the licence #1 lacks. The sibling findings also fell for a reason this one does not share: two of them demanded DIFFERENT preferred claims on the same subject, which the loader cannot admit. This finding asks for neither; it asks that the modern figure move to a profile of its own, per §4.1, after which the subject can be disposed on its remaining, admissible claims. A maintainer who disagrees should read §4.3's two paragraphs side by side and decide; that is the right level for this question.
LEAD-015	event:israel.monarchy.demand-for-a-king#0 -> event:israel.judges.period#0 -> event:israel.monarchy.saul-accession	B-wrong-anchor (emergent)	bible:douay-rheims:1Kings.8.1-5; bible:douay-rheims:Acts.13.20	1 Kings 8:1-5; Acts 13:20	CHANGES_REQUIRED	major	anchor-chain-resolves-an-event-from-its-own-consequence	Fix hop two first, as the lead says, but on the stronger ground and with a different first move. israel.judges.period#0 is not merely wrongly anchored: guidance 10 defines relative as 'an offset: N units after/before a named anchor event', the label supplies the N ('four hundred and fifty years') and the anchor supplies the event (saul-accession at 1020 B.C.), so a consumer combining the two fields the corpus publishes reads 570 B.C. for the period of the Judges. The subject's own note already says the figure is a DURATION, so this is 10.0 and 15.1(6) verbatim, surviving the very migration that moved 47 sibling claims out of relative - re-type it as precision: duration with statement and no anchor. That alone dissolves the chain, since demand-for-a-king would then hang on a duration and no longer reach saul-accession. Note also that the anchor is doubly wrong: saul-accession stands at the interval's END, contra 15.1(2), and its only claim is Howlett's 1020 B.C., the same modern-critical sentence LEAD-014 is about, marked alternate with a note saying the profile does not display it - so the chain resolves the Judges from a figure the profile itself declines to prefer. Finally, the lead's proposed re-typing of demand-for-a-king 'as containment' is not implementable as written: 10.0 defines within only on duration ('a duration may say what it sits within'), and demand-for-a-king is a point event, so either extend the model or leave it as a relative naming judges.period with no offset, which is what it already is and is harmless once hop two is fixed.	Surfaced by the class-A auditor of package 7 and traced by the lead across the whole anchor graph. There is no literal cycle: 146 events carry a relative anchor and a full traversal finds zero cycles, because israel.monarchy.saul-accession is a leaf. That is exactly why no gate catches this — the defect is temporal incoherence, not a graph cycle, and guidance §15.1(2) is the family it belongs to. Nothing computes with these offsets today, which is the only reason no wrong date has been produced from the chain.
LEAD-016	binding:narrated-event:life-of-christ.crucifixion@Matt.27.33-54	binding-scope	bible:douay-rheims:Matt.27.53	Matthew 27:53	CHANGES_REQUIRED	major	binding scope reaches one verse whose own words place its action later	Narrow the Matthew range so 27:53 falls outside the Crucifixion binding, or state in the binding's note why the pericope is bound whole. The other seven boundaries are correct and must not be disturbed.	Raised by the binding-scope auditor and reproduced by the lead with the live tool. DOWNGRADED from critical to major, and the counter-argument recorded rather than dismissed: an independent verifier refuted the finding on the ground that Matt 27:51-53 is one continuous Matthean narration of what happened at the death — the veil rent, the earth quaking, the graves opening and the bodies arising all occur at the Crucifixion, and only the risen saints' entry into the city is placed later. That reading is defensible and it is why this is not critical: the pericope's event does begin at the Crucifixion. What survives is narrower and still true — verse 53 in isolation narrates something the verse itself dates after the Resurrection, and a consumer querying that verse alone receives "the 14th of Nisan, on a Friday", marked `direct`. The remaining seven boundaries of the four-Gospel Passion binding are clean, verified verse by verse in the tracked Douay: Matt 27:33 / Mark 15:22 / Luke 23:33 all open at the coming to Calvary, Mark 15:39 and Luke 23:47 close at the centurion, John 19:18 opens at "Where they crucified him" and 19:37 stops one verse short of the burial.
LEAD-017	unit:composition.book-of-jonas#0	E-semantic-type/profile	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08497b-3ef68123	Driscoll, "Jonah", CE vol. 8 (1910), the authorship paragraph	CHANGES_REQUIRED	major	a prophet's lifetime promoted to a composition date and marked preferred; a hedged reported form treated as an assertion	Withdraw unit:composition.book-of-jonas#0 and record typed silence for the composition of Jonas, exactly as was done for both books of Esdras under §15.1(3). If anything is retained it must be re-typed as the prophet's lifetime or as the narrated events, never as composition and never `preferred`. Do NOT substitute the article's "probably the fifth century B.C.": that is the modern-scholars voice §4.3 excludes.	Raised independently by two auditors (class-E and a sample auditor) and confirmed by the lead in the retained article text. Three §15.1 failures compound in one claim: (7) authorship/lifetime promoted to a statement about the text; (3) a figure in a hedged, reported form — "is supposed to have lived" — treated as the source's assertion; and §4.4, `preferred` on a subject where the source states nothing. The claim's OWN note concedes every element of the case — "The eighth-century figure is attached in the source to the PROPHET'S LIFETIME and is hedged as 'supposed'; the article gives no date for the writing" — and the disposition contradicts the note. Critical because a well-formed century-precision composition date for a book of Scripture is returned to a consumer as this profile's accepted answer. DOWNGRADED from critical to major on verification: the defect is a relation-and-derivation error rather than a fabricated year. The eighth century is where tradition places the prophet, and the book is traditionally ascribed to him, so the range itself is not invented — what is wrong is that §8 permits authorship to support composition only "to the degree an inspected source actually dates or bounds the writing", and §10 would require a `derivation` naming its rule and inputs. The claim carries none, and is `preferred`.
N-006	translation-independent-identity/A+B/gate-soundness-and-greek-sirach-extent	architecture-acceptance	scripts/_chronology.py:1236-1252 (_refuse_duplicated_native_scopes probe); src/sources/chronology/composition.yaml:1408-1415; src/sources/works/english-college-of-douay/douay-rheims-bible/editions/challoner-gutenberg-1581/artifacts/deuterocanon-numbering-68ea757a/deuterocanon-numbering.tsv:96	greek Ecclus.36.16 (== vulgate Ecclus.36.18)	CHANGES_REQUIRED	major	over-broad-native-scope + unsound-load-gate; wrong text's composition date returned to a consumer	Two changes. (1) Make the §3.0 gate sound: probe every locus a native span covers, not `span.first or 1`, so a span containing ANY safely-corresponding locus is refused at load. (2) Narrow composition.book-of-ecclesiasticus.greek so it does not claim Ecclus 36:16 — or decide, and state, which text's date 36:16 carries and author it there. Either way the whole-book span must stop asserting an extent the corpus's own concordance contradicts. Correct the false comment at composition.yaml:1408-1412 in the same change.	This is the failure guidance §3.2 names in its own words — "a query that succeeds, returns a well-formed date, and has answered about different text than the caller asked about" — reached through the requirement's own standing example. Reproduce: `tools/scripture-chronology query Ecclus.36.16 --system greek --json`.
P-004	event:israel.exodus.the-exodus#1	profile-boundary/modern-criticism	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	'Biblical Chronology', section 'The Exodus to the building of Solomon's Temple'	CHANGES_REQUIRED	major	modern-critical figure held level with a rank-1 scriptural statement	Change the disposition of this claim to `alternate`. The profile names 'Modern critical, archaeological, Egyptological and Assyriological chronology' a non-authority; carrying Howlett's Egyptological reconstruction as `disputed` beside event:israel.exodus.the-exodus#2 makes it the equal of Scripture's own statement in the query's ordering and forbids any claim on the subject being preferred (§4.4). The same corpus already contains the correct handling of the identical figure at event:israel.monarchy.temple-begun#5, where Howlett's '958 B.C.' from this same paragraph is `alternate` under a preferred rank-1 claim.	The quotation and the note are accurate and the boundary is honestly labelled ('It is a 1908 encyclopedist following the Egyptologists and is never to be displayed as the tradition's date'). The defect is entirely in the disposition: `tools/tpt scripture-chronology query Ex.12.41` returns 'about 1277' with the same 'disputed' marker as 'the four hundred and eightieth year after the children of Israel came out of the land of Egypt', and orders it first because ordering falls through to the date's rendering when no claim is preferred.
P-011	event:israel.exile.second-captivity#0	profile-boundary/rank-1	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	Ps.70.1 note; artifact PDF page 776, printed p. 740	CHANGES_REQUIRED	major	rank-1 statement omitted, so a rank-3 printing of Ussher's Anno Mundi figure is displayed first at the verse that dates the event	Author the rank-1 claim from 4 Kings 24:12 on israel.exile.second-captivity, mark it `preferred`, and demote this A.M. 3405 claim to `alternate` - exactly the shape israel.exile.first-captivity already has (Dan 1:1 preferred over A.M. 3398). Until then a consumer running `tools/tpt scripture-chronology query 4Kings.24.12` receives 'A.M. 3405 preferred' and never sees the verse's own 'in the eighth year of his reign'.	4 Kings 24:12 read out of the tracked Douay. The corpus has already read it: the narrated-event binding for this very event names `bible:douay-rheims:4Kings.24.12` among its sources, so Scripture is not silent and was not unavailable - it simply was not authored as a claim. §4.2: a lower rank is consulted only where every higher rank is silent, and precision is not authority. Second defect on the same claim: the basis puts '"the second under Jechonias as A.M. 3405"' in quotation marks; the page reads 'the second, under Jechonias, [3]405'. The quoted string is a reconstruction and must be de-quoted or corrected (§15.1(1)).
S1-003	unit:composition.third-book-of-kings#0	S	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08652a-189e1a8f	Schets, "Third and Fourth Books of Kings", CE vol. 8 (1910), authorship and date paragraphs	CHANGES_REQUIRED	major	conditional figure detached from an antecedent the source only reports, then given the preferred disposition (SS4.3 / SS15.1(3)); the resulting date also contradicts the article's own unconditional terminus	Withdraw the 587 B.C. figure as the preferred composition date of 3 Kings (and identically of 4 Kings) and author a gaps.yaml row naming this artifact, or at minimum demote to disputed with a note stating that the article's only unconditional statement — a whole-book terminus later than 587 — is what the source actually asserts. Confirmed live: `tools/tpt scripture-chronology query 3Kings.10.1` and `4Kings.10.1` both return "composition | not long before, or shortly after, the fall of Jerusalem (587 B.C.) | preferred | inherited". §15.1(3) is the named precedent (the Esdras 300 B.C. units).	Source existence and fidelity are fine: the record is registered (Schets, vol. 8, 1910) and every quoted string in the basis and note is verbatim, spacing artefacts of the retained text included. The claim's own note states all the disqualifying facts - that the year is CONDITIONAL, that the antecedent is reported not settled, and that "The article's own unconditional statement carries no year" - and the claim was authored preferred anyway; that is the whole defect. Two aggravations: 587 B.C. is the date of the fall of Jerusalem, not a year the article attaches to the writing except through that conditional; and the article's unconditional floor (completion no earlier than mid-Exile, tied to 562) is LATER than 587, so the stored preferred date contradicts the source's own position. Scope (whole book 3Kings) matches the article, which treats III and IV Kings as one work. Semantic type composition is the right relation for what is being asserted; the fault is the figure and the disposition, not the relation. Verified live: `tools/tpt scripture-chronology query 3Kings.10.1` returns this as preferred, inherited.
S1-010	unit:composition.book-of-osee#1	S	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11337a-2a862b12	Cales, "Osee", CE vol. 11 (1911), section "Time of his ministry"	CHANGES_REQUIRED	major	superscription-setting authored as composition (SS5, SS8, SS15 'never promote a superscription to a composition date'); the assertion is also about prophesying, not writing	Withdraw this claim from composition.book-of-osee. If the title-derived range is to be kept - and it should be, it is real evidence - author it under the relation the guidance names for it, superscription-setting, via an event and a bindings.yaml row (the corpus already holds 26 such rows), scoped to the title verse Os.1.1 rather than to every verse of the book; prophecy-given is the alternative if the intended subject is the ministry. It must not stand as a composition date.	Fidelity is not the problem - the basis quotation is verbatim, spacing artefacts included, and the note quotes the article's rejection of the title. The problem is the relation. composition.yaml units are hard-coded relation="composition" in scripts/_chronology.py (the loader refuses composition as a binding relation precisely because it is a textual unit), so anything authored there IS a claim about when the text was written. `tools/tpt scripture-chronology query Os.4.1` returns "composition | from about 750 to 725 B.C. | alternate | inherited" on every verse of the book: a title-derived range about the prophet's ministry, delivered to consumers as a writing date. That is SS5 ("superscription-setting is not composition ... a title is evidence about a setting"), SS8 ("never promoted to composition because it is available") and SS15's closing prohibition, and the claim's own note recites the rule while the encoding breaks it. Disposition and SS4.4 are satisfied (the preferred sibling #0 carries an explicit note saying what settles it), and the endpoints, era and "about" hedge in the label all match the printed figure - so demoting or re-typing is the whole fix. COLLATERAL, outside my claim: the preferred sibling unit:composition.book-of-osee#0 has the same shape of problem in weaker form - its source sentence is "The era of the Prophet, therefore, if it is to be judged from his writings, ought to be placed about 750-735", which its own note concedes "dates the era of the PROPHET ... the article does not treat the writing or compilation of the book separately". The lead may want that one looked at in the same pass.
S2-012	unit:composition.book-of-jonas#0	S	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08497b-3ef68123	Driscoll, "Jonah", CE vol. 8 (1910), on the authorship of the book; retained text line 48	CHANGES_REQUIRED	major	authorship-converted-into-composition-date	Withdraw the structured date and hold the unit as typed silence (undated-in-tradition) with the authorship recorded in prose, OR re-type it as a derivation carrying its rule and inputs (traditional authorship + the prophet's supposed lifetime -> a composition window), visibly derived wherever displayed per 10 and 11. It may not stand as a sourced, preferred composition interval: no ranked source inspected here asserts a date for the writing of Jonas, and the corpus's own note concedes it. The 770-745 B.C. sentence in the same article is a narrated-event statement about the incidents and is not a substitute basis for this claim.	Both quoted strings in the basis are verbatim, and 800-701 B.C. is the eighth century B.C. correctly bounded, era bc, no zero. What fails is everything else. (1) Semantic: a lifetime is turned into a date of writing. That is 15.1(7) in the composition register - authorship, plus a supposed lifetime, promoted to a dated event - and the very sentence relied on says the book nowhere claims the Prophet wrote it. (2) Hedge: "supposed to have lived" is a hedge on the man's dates, and it does not survive into a structured interval that a consumer reads as the book's date. (3) Provenance: 11 requires "the source says X" and "the project derives Y from X" to be kept apart, and this is a project inference filed as a source assertion with no derivation block. (4) Disposition: it is the sole claim and is preferred, so it is displayed first as the traditional composition date of Jonas though no inspected source prints one. The corpus's own note states the defect plainly - "The eighth-century figure is attached in the source to the PROPHET'S LIFETIME and is hedged as 'supposed'; the article gives no date for the writing" - which makes this a disclosed inference, not a hidden one, and is why I rate it major rather than critical. Profile handling is otherwise correct: the article's modern-critical fifth-century dating is excluded under 4.1/4.3 and the exclusion is stated. Scope Jon whole-book is right for an authorship-shaped claim if any date is kept at all.
S5-007	unit:composition.book-of-abdias#0	S-sample	artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01030b-f708bbb1	Gigot, "Abdias", CE vol. 1 (New York 1907), section "Date of the prophecy of Abdias"	CHANGES_REQUIRED	major	a reported third-party opinion is displayed as the profile's `preferred` composition date on a subject the source expressly leaves undecided, and two material rival opinions from the same section are dropped on a stated ground that the retained text falsifies (§4.3, §4.4, §15.1(3))	Change the disposition to `disputed` - the source names three leading opinions and settles none, so under §4.4 nothing on this subject may be preferred - and author the rival opinions the same section supplies rather than dropping them. The note's ground for dropping them ("the source prints no year for either") is not correct: the article prints "Nabuchodonosor (588-587 B.C.)" for the capture of Jerusalem that the second opinion pins the book to, and states the second opinion in explicitly relative terms ("some three centuries after King Joram") which the corpus's own `relative` precision carries - it uses precisely that shape for Josue and for the birth of Abram elsewhere in this same package.	Both basis quotations appear VERBATIM, and the claim's own note is candid that "The article does not decide" and "reports rather than endorses this dating" - which is a description of exactly why the claim may not be `preferred`, written above a claim that is. Consequence for a consumer: a query on any verse of Abdias returns 900-801 B.C. as the profile's first-displayed composition date, sourced to the Catholic Encyclopedia, when the Catholic Encyclopedia asserts no date for Abdias at all and reports a rival opinion (including the Catholic authors Jahn and Allioli) placing the book roughly three centuries later. The interval bounds themselves are fine: the ninth century B.C. is 900-801 B.C., the widening from the source's "about the middle" is disclosed and errs toward less precision, not more; era bc; semantic type `composition` correct; whole-book scope carried by an article discussing the date of the whole twenty-one-verse book. The defect is disposition plus dropped alternatives, not the arithmetic.
