# Profile-contract cold-review manifest for the Scripture chronology corpus.
#
# The complete review surface for a GENUINELY COLD review of the
# profile-contract correction lane: a new agent or session that performed
# none of the population, none of the audits, and none of these corrections.
# Every row is reviewed. Nothing is sampled and nothing is hand-picked.
#
# Derived by diffing the corpus at c1dee9fc0ddfea3ea06d951c7ad25d05b75b0341 -- loaded by ITS OWN loader --
# against the WORKING TREE loaded by the loader in it, as OBJECTS, so a
# reformat cannot hide a change; then unioned with four whole-population
# queries over the head corpus (every claim citing Howlett, every claim citing
# Sloet, every claim naming a reporting exception, every preserved claim, and
# every claim still carrying basis_class `unreviewed`), and with the five
# blockers by id and the contract and gate files by path, and with every gap
# row added, withdrawn or reworded, which is what a verse answers with once the
# last answerable claim standing over it has been preserved.
#
# Deduplicated on case_type + ':' + case_id. `why_in_review` keeps EVERY
# reason that reached a row, so a case that four clauses of the brief reach
# is one row that says so four times rather than four rows saying it once.
#
# Regenerate with `python3 scripts/build_profile_contract_manifest.py`, and ask
# whether it has drifted with the same command and `--check`. BOTH derive
# against the base PINNED IN THE BUILDER as `BASE_REVISION`, and NEITHER reads
# the base out of the line above. Until 2026-09-02 write mode defaulted to HEAD,
# so a cold reviewer who ran the command printed here in a clean clone rebased
# this surface onto HEAD and collapsed it from 475 rows to 95 -- and `--check`,
# which took its base from this file's own header, then reported the collapse as
# current. Both halves are fixed; the command above is safe to run.
#
# `--base REV` still exists, for a one-off comparison against some other
# revision. What it produces is a DIFFERENT artifact and is not this one, and
# `--check` will say so.
# Rows: 480.
review_id	case_type	case_id	changed_in_lane	change	answerability_change	basis_class	answerability	disposition	source_record	prior_review_ids	why_in_review
PC-089	claim	event:israel.divided-kingdom.osee-ministry#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11337a-2a862b12	-	the claim's own stored state changed in this lane
PC-090	claim	event:israel.divided-kingdom.osee-ministry#1	yes	changed:basis_class	-	reported-traditional	answerable	alternate	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11337a-2a862b12	-	the claim's own stored state changed in this lane
PC-091	claim	event:israel.divided-kingdom.sennacherib-invasion#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:4Kings.18.13	-	the claim's own stored state changed in this lane
PC-092	claim	event:israel.divided-kingdom.sesac-invasion#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:3Kings.14.25	-	the claim's own stored state changed in this lane
PC-093	claim	event:israel.egypt.brethren-first-journey#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08506a-07813cad	-	the claim's own stored state changed in this lane
PC-094	claim	event:israel.egypt.butler-and-baker#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.41.1;artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08506a-07813cad	-	the claim's own stored state changed in this lane
PC-095	claim	event:israel.egypt.descent#0	yes	changed:basis_class+sources+note	-	scripture	answerable	preferred	bible:douay-rheims:Gen.47.9;artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-096	claim	event:israel.egypt.joseph-before-pharao#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.41.46;bible:douay-rheims:Gen.41.47;artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08506a-07813cad	-	the claim's own stored state changed in this lane
PC-097	claim	event:israel.egypt.sojourn#0	yes	changed:basis_class	-	scripture	answerable	disputed	bible:douay-rheims:Ex.12.40	-	the claim's own stored state changed in this lane
PC-098	claim	event:israel.egypt.sojourn#1	yes	changed:basis_class	-	scripture	answerable	disputed	bible:douay-rheims:Gen.15.13	-	the claim's own stored state changed in this lane
PC-099	claim	event:israel.egypt.sojourn#2	yes	changed:basis_class	-	reported-traditional	answerable	disputed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-100	claim	event:israel.egypt.years-of-famine#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.45.6;bible:douay-rheims:Gen.41.54	-	the claim's own stored state changed in this lane
PC-101	claim	event:israel.egypt.years-of-plenty#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.41.53;bible:douay-rheims:Gen.41.54	-	the claim's own stored state changed in this lane
PC-102	claim	event:israel.exile.burning-of-the-temple#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:4Kings.25.8;bible:douay-rheims:4Kings.25.9	-	the claim's own stored state changed in this lane
PC-103	claim	event:israel.exile.carchemish#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03315a-9cb437e2	-	the claim's own stored state changed in this lane
PC-104	claim	event:israel.exile.deportations-of-nabuchodonosor#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Jer.52.28;bible:douay-rheims:Jer.52.29;bible:douay-rheims:Jer.52.30	-	the claim's own stored state changed in this lane
PC-105	claim	event:israel.exile.ezechiel.broken-arm-of-pharao#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ezech.30.20;bible:douay-rheims:Ezech.30.21	-	the claim's own stored state changed in this lane
PC-106	claim	event:israel.exile.ezechiel.call#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ezech.1.1;bible:douay-rheims:Ezech.1.2;bible:douay-rheims:Ezech.1.3;artifact.catholic-encyclopedia.volume-5.new-york-1909.newadvent-05737b-06e3e070	-	the claim's own stored state changed in this lane
PC-107	claim	event:israel.exile.ezechiel.egypt-as-wages-for-nabuchodonosor#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ezech.29.17;bible:douay-rheims:Ezech.29.18;bible:douay-rheims:Ezech.29.19	-	the claim's own stored state changed in this lane
PC-108	claim	event:israel.exile.ezechiel.elders-inquiry#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ezech.20.1	-	the claim's own stored state changed in this lane
PC-109	claim	event:israel.exile.ezechiel.first-oracle-against-egypt#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ezech.29.1;bible:douay-rheims:Ezech.29.2	-	the claim's own stored state changed in this lane
PC-110	claim	event:israel.exile.ezechiel.lamentation-for-pharao#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ezech.32.1;bible:douay-rheims:Ezech.32.2	-	the claim's own stored state changed in this lane
PC-111	claim	event:israel.exile.ezechiel.lamentation-for-the-multitude-of-egypt#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ezech.32.17;bible:douay-rheims:Ezech.32.18	-	the claim's own stored state changed in this lane
PC-112	claim	event:israel.exile.ezechiel.ministry#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-5.new-york-1909.newadvent-05737b-06e3e070;bible:douay-rheims:Ezech.1.2;bible:douay-rheims:Ezech.29.17	-	the claim's own stored state changed in this lane
PC-113	claim	event:israel.exile.ezechiel.news-of-the-fall-of-jerusalem#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ezech.33.21;bible:douay-rheims:Ezech.33.22	-	the claim's own stored state changed in this lane
PC-114	claim	event:israel.exile.ezechiel.oracle-against-tyre#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ezech.26.1;bible:douay-rheims:Ezech.26.2	-	the claim's own stored state changed in this lane
PC-115	claim	event:israel.exile.ezechiel.parable-of-the-cedar#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ezech.31.1;bible:douay-rheims:Ezech.31.2	-	the claim's own stored state changed in this lane
PC-116	claim	event:israel.exile.ezechiel.vision-of-the-abominations#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ezech.8.1	-	the claim's own stored state changed in this lane
PC-117	claim	event:israel.exile.ezechiel.vision-of-the-new-temple#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ezech.40.1	-	the claim's own stored state changed in this lane
PC-118	claim	event:israel.exile.ezechiel.watchman-charge#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ezech.3.15;bible:douay-rheims:Ezech.3.16	-	the claim's own stored state changed in this lane
PC-119	claim	event:israel.exile.final-siege#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:4Kings.25.1;bible:douay-rheims:4Kings.25.2	-	the claim's own stored state changed in this lane
PC-120	claim	event:israel.exile.first-captivity#0	yes	changed:basis_class+reporting_exception	-	reported-excluded	answerable	alternate	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	-	the claim's own stored state changed in this lane | Ussher reporting exception: the narrowness of the one named lift is only checkable claim by claim
PC-121	claim	event:israel.exile.first-captivity#1	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Dan.1.1	-	the claim's own stored state changed in this lane
PC-122	claim	event:israel.exile.joakim-accession#0	yes	changed:basis_class+basis+note	-	reported-traditional	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	-	"the claim's own stored state changed in this lane | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample"
PC-123	claim	event:israel.exile.nabuchodonosor-accession#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Jer.25.1;bible:douay-rheims:Jer.46.2	-	the claim's own stored state changed in this lane
PC-124	claim	event:israel.exile.second-captivity#0	yes	changed:basis_class+reporting_exception	-	reported-excluded	answerable	alternate	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	-	the claim's own stored state changed in this lane | Ussher reporting exception: the narrowness of the one named lift is only checkable claim by claim
PC-125	claim	event:israel.exile.second-captivity#1	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:4Kings.24.12;bible:douay-rheims:4Kings.24.8	-	the claim's own stored state changed in this lane
PC-126	claim	event:israel.exile.second-captivity#2	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03315a-9cb437e2	-	the claim's own stored state changed in this lane
PC-127	claim	event:israel.exile.sedecias-reign#0	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08344a-e6625662	-	the claim's own stored state changed in this lane
PC-128	claim	event:israel.exile.sedecias-reign#1	yes	changed:basis_class+basis+note	-	reported-traditional	answerable	disputed	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	-	"the claim's own stored state changed in this lane | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample"
PC-129	claim	event:israel.exile.seventy-years#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Jer.25.11;bible:douay-rheims:Jer.25.12	-	the claim's own stored state changed in this lane
PC-130	claim	event:israel.exile.third-captivity#0	yes	changed:basis_class+reporting_exception	-	reported-excluded	answerable	preferred	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	FA-030;E2-008;LEAD-001;P-012;RR-014	the claim's own stored state changed in this lane | Ussher reporting exception: the narrowness of the one named lift is only checkable claim by claim
PC-131	claim	event:israel.exile.third-captivity#1	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03315a-9cb437e2;artifact.catholic-encyclopedia.volume-14.new-york-1912.newadvent-14499a-82b12b6e	-	the claim's own stored state changed in this lane
PC-132	claim	event:israel.exile.third-captivity#2	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08652a-189e1a8f	-	the claim's own stored state changed in this lane
PC-133	claim	event:israel.exile.third-captivity#3	yes	changed:basis_class+note	-	reported-traditional	answerable	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	-	"the claim's own stored state changed in this lane | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample"
PC-134	claim	event:israel.exile.third-captivity#4	yes	changed:answerability+basis_class+note	answerable->preserved (claim-changed)	unresolved	preserved	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	FA-140;RR-090-LEAD	"the claim's own stored state changed in this lane | the claim's candidate eligibility changed: answerability+basis_class+note | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer | BLOCKER 3 -- the 536 case: a figure the corpus itself calls the look of a printing error, returned as a live alternate beside 586, 587 and 588"
PC-135	claim	event:israel.exodus.birth-of-moses#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ex.7.7	-	the claim's own stored state changed in this lane
PC-136	claim	event:israel.exodus.burning-bush#0	yes	changed:basis_class+reporting_exception+note	-	reported-excluded	answerable	preferred	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.exodus-3-burning-bush-chronology;passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	-	the claim's own stored state changed in this lane | Ussher reporting exception: the narrowness of the one named lift is only checkable claim by claim
PC-137	claim	event:israel.exodus.moses-before-pharao#0	yes	changed:basis_class+reporting_exception+note	-	reported-excluded	answerable	preferred	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.exodus-5-pharao-chronology;passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	-	the claim's own stored state changed in this lane | Ussher reporting exception: the narrowness of the one named lift is only checkable claim by claim
PC-138	claim	event:israel.exodus.moses-in-madian#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Acts.7.23;bible:douay-rheims:Acts.7.30;bible:douay-rheims:Ex.2.11	-	the claim's own stored state changed in this lane
PC-139	claim	event:israel.exodus.moses-in-madian#1	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-10.new-york-1911.newadvent-10596a-59d1207b	-	the claim's own stored state changed in this lane
PC-140	claim	event:israel.exodus.passage-of-the-red-sea#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ex.14.21;bible:douay-rheims:Ex.14.22;bible:douay-rheims:Num.33.8	-	the claim's own stored state changed in this lane
PC-141	claim	event:israel.exodus.return-of-moses-to-egypt#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ex.4.18;bible:douay-rheims:Ex.4.20	-	the claim's own stored state changed in this lane
PC-142	claim	event:israel.exodus.the-exodus#0	yes	changed:answerability+basis_class+note	answerable->preserved (claim-changed)	reported-excluded	preserved	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	FA-032;E1-008;E1-010;LEAD-014;G-006;RR-016	"the claim's own stored state changed in this lane | the claim's candidate eligibility changed: answerability+basis_class+note | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-143	claim	event:israel.exodus.the-exodus#1	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:3Kings.6.1	-	the claim's own stored state changed in this lane
PC-144	claim	event:israel.exodus.the-exodus#2	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-145	claim	event:israel.exodus.the-exodus#3	yes	added	-	modern-critical	preserved	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-146	claim	event:israel.exodus.the-plagues-of-egypt#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ex.5.1;bible:douay-rheims:Ex.7.25;bible:douay-rheims:Ex.9.31;bible:douay-rheims:Ex.12.29	-	the claim's own stored state changed in this lane
PC-147	claim	event:israel.exodus.the-plagues-of-egypt#1	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-12.new-york-1911.newadvent-12143a-0612afa4	-	the claim's own stored state changed in this lane
PC-148	claim	event:israel.judges.abdon-judgeship#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.12.14	-	the claim's own stored state changed in this lane
PC-149	claim	event:israel.judges.abesan-judgeship#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.12.9	-	the claim's own stored state changed in this lane
PC-150	claim	event:israel.judges.abimelech-reign#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.9.22	-	the claim's own stored state changed in this lane
PC-151	claim	event:israel.judges.after-the-death-of-josue#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.1.1	-	the claim's own stored state changed in this lane
PC-152	claim	event:israel.judges.ahialon-judgeship#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.12.11	-	the claim's own stored state changed in this lane
PC-153	claim	event:israel.judges.aod-judgeship#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.3.30	-	the claim's own stored state changed in this lane
PC-154	claim	event:israel.judges.ark-among-the-philistines#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Kings.5.1;bible:douay-rheims:1Kings.6.1	-	the claim's own stored state changed in this lane
PC-155	claim	event:israel.judges.ark-at-cariathiarim#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Kings.7.2	-	the claim's own stored state changed in this lane
PC-156	claim	event:israel.judges.ark-comes-to-cariathiarim#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Kings.6.21;bible:douay-rheims:1Kings.7.1	-	the claim's own stored state changed in this lane
PC-157	claim	event:israel.judges.call-of-samuel#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Kings.3.1;bible:douay-rheims:1Kings.3.2	-	the claim's own stored state changed in this lane
PC-158	claim	event:israel.judges.capture-of-the-ark#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Kings.4.11;bible:douay-rheims:1Kings.4.12;bible:douay-rheims:1Kings.4.18	-	the claim's own stored state changed in this lane
PC-159	claim	event:israel.judges.debbora-and-barac#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.5.32	-	the claim's own stored state changed in this lane
PC-160	claim	event:israel.judges.gedeon-judgeship#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.8.28	-	the claim's own stored state changed in this lane
PC-161	claim	event:israel.judges.heli-judgeship#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Kings.4.18	-	the claim's own stored state changed in this lane
PC-162	claim	event:israel.judges.jair-judgeship#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.10.3	-	the claim's own stored state changed in this lane
PC-163	claim	event:israel.judges.jephte-judgeship#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.12.7	-	the claim's own stored state changed in this lane
PC-164	claim	event:israel.judges.jephte-three-hundred-years#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.11.26	-	the claim's own stored state changed in this lane
PC-165	claim	event:israel.judges.oppression-by-ammon#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.10.8	-	the claim's own stored state changed in this lane
PC-166	claim	event:israel.judges.othoniel-judgeship#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.3.11	-	the claim's own stored state changed in this lane
PC-167	claim	event:israel.judges.period#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Acts.13.20	-	the claim's own stored state changed in this lane
PC-168	claim	event:israel.judges.samson-judgeship#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.15.20;bible:douay-rheims:Judg.16.31	-	the claim's own stored state changed in this lane
PC-169	claim	event:israel.judges.samuel-at-silo#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Kings.1.3;bible:douay-rheims:1Kings.1.20;bible:douay-rheims:1Kings.2.11	-	the claim's own stored state changed in this lane
PC-170	claim	event:israel.judges.servitude-under-chusan-rasathaim#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.3.8	-	the claim's own stored state changed in this lane
PC-171	claim	event:israel.judges.servitude-under-eglon#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.3.14	-	the claim's own stored state changed in this lane
PC-172	claim	event:israel.judges.servitude-under-jabin#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.4.3	-	the claim's own stored state changed in this lane
PC-173	claim	event:israel.judges.servitude-under-madian#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.6.1	-	the claim's own stored state changed in this lane
PC-174	claim	event:israel.judges.servitude-under-the-philistines#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.13.1	-	the claim's own stored state changed in this lane
PC-175	claim	event:israel.judges.thola-judgeship#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Judg.10.2	-	the claim's own stored state changed in this lane
PC-176	claim	event:israel.judges.victory-at-maspha#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Kings.7.2;bible:douay-rheims:1Kings.7.3	-	the claim's own stored state changed in this lane
PC-177	claim	event:israel.maccabees.abomination-of-desolation#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Mach.1.57	-	the claim's own stored state changed in this lane
PC-178	claim	event:israel.maccabees.antiochus-accession#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Mach.1.11	-	the claim's own stored state changed in this lane
PC-179	claim	event:israel.maccabees.feast-of-dedication#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Mach.4.59;bible:douay-rheims:2Mach.10.5	-	the claim's own stored state changed in this lane
PC-180	claim	event:israel.maccabees.judas-leadership#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08541a-c5cd9fc4	-	the claim's own stored state changed in this lane
PC-181	claim	event:israel.maccabees.mathathias-death#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-9.new-york-1910.newadvent-09493b-376c059b;artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08344a-e6625662	-	the claim's own stored state changed in this lane
PC-182	claim	event:israel.maccabees.rising-under-mathathias#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-183	claim	event:israel.maccabees.seleucid-era#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-9.new-york-1910.newadvent-09495a-6afd1136;artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-184	claim	event:israel.maccabees.simon-rule#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-185	claim	event:israel.maccabees.temple-plundered#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Mach.1.21;bible:douay-rheims:1Mach.1.22;bible:douay-rheims:1Mach.1.23	-	the claim's own stored state changed in this lane
PC-186	claim	event:israel.maccabees.temple-plundered#1	yes	changed:basis_class+basis	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-14.new-york-1912.newadvent-14499a-82b12b6e	-	the claim's own stored state changed in this lane
PC-187	claim	event:israel.maccabees.temple-rededication#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Mach.4.52;bible:douay-rheims:1Mach.4.53;bible:douay-rheims:1Mach.4.54	-	the claim's own stored state changed in this lane
PC-188	claim	event:israel.maccabees.temple-rededication#1	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08344a-e6625662	-	the claim's own stored state changed in this lane
PC-189	claim	event:israel.monarchy.absalom-defeat#0	yes	changed:basis_class+reporting_exception+sources+basis+note	-	reported-excluded	answerable	preferred	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.second-kings-18-absalom-defeat-chronology;passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	-	the claim's own stored state changed in this lane | Ussher reporting exception: the narrowness of the one named lift is only checkable claim by claim
PC-190	claim	event:israel.monarchy.absalom-preparations#0	yes	changed:basis_class+reporting_exception+sources+basis+note	-	reported-excluded	answerable	preferred	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.second-kings-15-absalom-conspiracy-chronology;passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	-	the claim's own stored state changed in this lane | Ussher reporting exception: the narrowness of the one named lift is only checkable claim by claim
PC-191	claim	event:israel.monarchy.absalom-revolt#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:2Kings.15.7;passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.second-kings-15-absalom-conspiracy-chronology	-	the claim's own stored state changed in this lane
PC-192	claim	event:israel.monarchy.absalom-revolt#1	yes	changed:basis_class+reporting_exception+sources+basis+note	-	reported-excluded	answerable	alternate	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.second-kings-15-absalom-conspiracy-chronology;passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	-	the claim's own stored state changed in this lane | Ussher reporting exception: the narrowness of the one named lift is only checkable claim by claim
PC-193	claim	event:israel.monarchy.anointing-of-saul#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Kings.10.1;bible:douay-rheims:1Kings.10.17	-	the claim's own stored state changed in this lane
